,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费 
8625,8626,000368,汇添富沪深300安中指数A,2025-07-18,1.932,2.44,0.6,2.17,5.37,8.48,6.49,8.58,6.77,4.67,3.03,151.88,9.1464,0.12%
8626,8627,009550,汇添富开放视野中国优势六个月持有股票A,2025-07-18,0.6988,0.6988,0.76,1.57,6.52,8.36,10.26,8.58,4.03,-20.74,8.27,-30.12,9.8052,0.15%
8627,8628,519173,浦银安盛睿智精选混合C,2025-07-18,1.432,1.432,0.42,5.92,10.15,10.92,8.16,8.57,2.36,-8.38,8.24,43.2,9.3965,0.00%
8628,8629,370027,摩根智选30混合A,2025-07-18,2.5786,2.8876,-0.19,4.43,7.92,11.7,6.68,8.57,-0.13,-19.7,5.56,202.47,9.5831,0.15%
8629,8630,015522,建信兴晟优选一年持有混合C,2025-07-18,0.8448,0.8448,0.36,4.93,5.4,8.63,-1.79,8.57,-6.06,,-4.74,-15.52,7.7688,0.00%
8630,8631,000058,国联安安泰灵活配置混合A,2025-07-18,1.5453,1.9545,0.14,0.33,1.46,1.7,1.74,8.56,10.33,13.65,1.32,97.72,8.5945,0.10%
8631,8632,001721,工银新增益混合,2025-07-18,1.357,1.357,0.0,0.07,0.52,1.42,2.03,8.56,7.78,1.04,1.95,35.7,8.6469,0.15%
8632,8633,011701,南方均衡回报混合C,2025-07-18,1.0624,1.0624,0.41,1.3,3.6,6.22,2.68,8.56,6.53,4.82,1.2,6.24,9.1881,0.00%
8633,8634,012533,嘉实价值驱动一年持有期混合A,2025-07-18,0.9774,0.9774,0.3,-0.29,0.36,3.31,4.65,8.56,9.23,8.37,4.38,-2.26,10.5281,0.15%
8634,8635,006861,招商和悦稳健养老一年持有期混合(FOF)A,2025-07-16,1.3868,1.3868,0.14,0.27,0.98,2.31,3.22,8.55,7.03,8.09,2.9,38.68,,0.12%
8635,8636,011774,国寿安保璟珹6个月持有混合C,2025-07-18,1.0647,1.0647,0.03,0.42,2.68,2.87,5.48,8.55,7.49,1.24,5.76,6.47,8.4879,0.00%
8636,8637,013714,方正富邦泰利12个月持有混合A,2025-07-18,0.988,0.988,0.01,0.17,0.17,1.42,2.32,8.55,0.21,-1.16,1.95,-1.2,8.4999,0.08%
8637,8638,020037,鹏华品质甄选混合A,2025-07-18,1.0851,1.0851,0.36,3.09,8.41,15.92,16.24,8.54,,,13.98,8.51,8.5643,0.15%
8638,8639,001427,招商丰泽混合A,2025-07-18,1.855,1.855,0.43,1.59,7.23,14.01,7.72,8.54,8.93,12.42,4.86,85.5,6.9164,0.15%
8639,8640,012484,前海开源优质龙头6个月持有混合C,2025-07-18,0.7079,0.7079,1.51,3.49,5.42,7.86,7.21,8.54,-6.78,-23.38,3.1,-29.21,8.3908,0.00%
8640,8641,395012,中海增强收益债券C,2025-07-18,1.17,1.586,0.17,0.09,1.56,3.27,4.0,8.53,7.36,8.28,3.72,67.45,8.5343,0.00%
8641,8642,005005,中金瑞安混合发起A,2025-07-18,1.4817,1.4817,-0.13,2.29,5.47,8.82,-0.98,8.53,0.41,-4.98,-1.39,48.17,9.577,0.15%
8642,8643,006260,汇添富红利增长混合C,2025-07-18,1.5184,1.5184,0.64,0.4,3.4,5.92,8.78,8.53,13.48,-13.35,5.48,51.84,10.0848,0.00%
8643,8644,009400,华安添瑞6个月混合A,2025-07-18,1.2042,1.2342,-0.04,-0.23,1.14,2.33,2.81,8.53,10.17,13.71,2.55,23.93,8.1455,0.08%
8644,8645,009312,前海联合价值优选混合A,2025-07-18,1.062,1.062,1.04,1.49,4.78,3.86,1.65,8.53,-17.68,-19.29,-1.37,6.2,8.279,0.15%
8645,8646,001755,嘉实新思路混合A,2025-07-18,1.165,1.5469,0.03,0.15,0.57,1.5,1.74,8.53,11.7,10.76,1.91,61.7,8.2513,0.15%
8646,8647,012076,易方达稳健添利混合C,2025-07-18,0.9734,0.9734,0.52,1.34,1.43,2.84,3.98,8.53,3.42,-1.29,2.16,-2.66,8.4568,0.00%
8647,8648,010230,南方宝昌混合A,2025-07-18,1.0836,1.0836,0.28,0.76,1.98,4.07,2.99,8.53,9.41,7.33,1.52,8.36,8.5011,0.12%
8648,8649,420009,天弘安康颐养混合A,2025-07-18,2.3092,2.3092,0.17,0.23,1.62,2.16,2.27,8.52,11.7,12.39,2.1,130.92,8.4946,0.10%
8649,8650,001123,鹏华弘利混合C,2025-07-18,1.6549,1.7357,0.01,0.25,1.92,2.37,4.06,8.52,8.89,13.78,4.13,77.52,8.3688,0.00%
8650,8651,020034,国泰民安增利债券C,2025-07-18,1.1641,1.5906,0.0,0.13,1.35,3.16,2.65,8.52,7.67,5.13,3.05,70.25,8.47,0.00%
8651,8652,009423,招商瑞信稳健配置混合A,2025-07-18,1.2016,1.2576,0.07,0.85,2.53,5.42,4.82,8.52,9.38,9.47,3.57,26.19,8.5849,0.10%
8652,8653,013938,天弘安康颐养混合E,2025-07-18,1.1354,1.1354,0.17,0.23,1.62,2.16,2.27,8.52,11.7,12.38,2.1,13.54,8.495,0.12%
8653,8654,018464,光大保德信睿盈混合C,2025-07-18,0.5424,0.5424,0.37,3.53,5.2,10.0,8.81,8.52,-24.13,,5.83,-25.5,9.1348,0.00%
8654,8655,019343,富国价值发现混合C,2025-07-18,1.0995,1.0995,0.58,-0.79,3.81,1.08,4.01,8.52,,,2.68,9.95,10.0821,0.00%
8655,8656,021673,国泰中证沪深港黄金产业股票ETF发起联接A,2025-07-18,1.1043,1.1043,0.9,0.67,-1.57,5.87,25.39,8.52,,,31.64,10.43,12.9488,0.10%
8656,8657,001528,诺安先进制造股票A,2025-07-18,2.895,2.895,0.49,0.35,2.41,1.76,6.24,8.51,3.47,27.76,3.14,189.5,8.3053,0.15%
8657,8658,009735,天弘增强回报债券E,2025-07-18,1.2888,1.2888,0.26,0.44,1.42,2.96,3.33,8.51,7.06,7.21,2.97,28.88,8.4483,0.00%
8658,8659,017362,华夏养老2050五年持有混合发起式(FOF)Y,2025-07-16,1.3003,1.3003,0.33,1.22,4.35,12.9,10.49,8.51,0.8,,8.65,-4.81,,0.00%
8659,8660,750003,安信目标收益债券C,2025-07-18,1.3985,1.7665,0.03,0.04,0.45,1.16,1.66,8.5,11.08,13.79,1.87,96.53,8.6298,0.00%
8660,8661,040010,华安稳定收益债券B,2025-07-18,1.1611,1.9624,0.01,0.25,0.82,1.02,2.73,8.5,7.53,5.81,3.35,139.75,8.5202,0.00%
8661,8662,001736,圆信永丰优加生活,2025-07-18,2.9785,2.9785,0.57,1.59,4.47,5.02,3.0,8.5,-6.95,-5.34,1.58,197.85,9.1465,0.15%
8662,8663,003131,国寿安保强国智造混合,2025-07-18,1.0832,1.2732,-0.56,2.18,5.35,10.32,5.77,8.5,-17.38,-26.74,6.77,20.11,9.0177,0.15%
8663,8664,005553,国富新趋势混合C,2025-07-18,1.1919,1.2484,0.23,0.38,1.64,4.31,5.15,8.5,8.55,2.91,4.99,25.11,8.5025,0.00%
8664,8665,160216,国泰大宗商品,2025-07-18,0.549,0.549,0.37,-0.36,-2.49,-0.36,4.17,8.5,11.81,15.58,8.71,-45.1,9.8,0.15%
8665,8666,016178,东财稳健配置六个月持有(FOF)C,2025-07-16,1.0383,1.0383,0.03,0.18,0.7,2.48,2.6,8.5,5.29,,1.89,3.83,,0.00%
8666,8667,016341,银河价值成长混合C,2025-07-18,0.8257,0.8257,1.71,2.15,4.36,12.46,11.88,8.5,-4.11,,15.99,-17.43,10.6688,0.00%
8667,8668,017349,华安平衡养老目标三年持有混合发起式(FOF)Y,2025-07-16,0.9215,0.9215,-0.01,0.81,2.47,4.89,5.04,8.5,0.02,,3.88,0.35,,0.00%
8668,8669,018552,宏利医药健康混合发起C,2025-07-18,1.0879,1.0879,0.14,4.88,9.67,13.57,10.84,8.5,,,9.1,8.79,7.0241,0.00%
8669,8670,001414,国联鑫起点混合C,2025-07-18,0.9831,1.0331,0.64,2.02,5.43,5.55,5.65,8.49,-8.75,-11.65,5.69,3.07,9.1484,0.00%
8670,8671,519657,银河灵活配置混合C,2025-07-18,2.7266,2.7266,-0.06,1.03,3.91,4.45,3.5,8.48,-12.58,-21.33,1.36,172.66,8.2543,0.00%
8671,8672,002501,银华远景债券A,2025-07-18,1.2128,1.4008,0.08,0.47,1.56,3.13,3.75,8.48,6.67,5.79,4.1,43.0,8.5765,0.08%
8672,8673,008958,嘉实回报精选股票,2025-07-18,0.9517,0.9517,0.92,0.97,2.39,4.16,3.8,8.48,-5.25,-23.26,1.31,-4.84,8.7657,0.15%
8673,8674,009296,南方誉慧一年混合A,2025-07-18,1.1907,1.1907,0.24,0.41,1.67,3.1,3.69,8.48,5.77,6.8,2.88,19.07,8.6207,0.08%
8674,8675,010605,创金合信鑫祥混合A,2025-07-18,1.2296,1.2296,0.06,0.12,0.73,1.9,3.73,8.48,10.05,15.37,3.56,22.96,8.6315,0.12%
8675,8676,012052,财通资管新聚益6个月持有混合发起式A,2025-07-18,1.1024,1.1024,0.02,0.05,0.13,0.43,1.97,8.48,8.75,9.21,2.29,10.24,8.922,0.12%
8676,8677,011017,鹏扬景明一年混合,2025-07-18,1.083,1.083,0.2,0.3,1.14,2.21,2.89,8.48,7.76,8.87,2.51,8.3,8.3759,0.10%
8677,8678,017598,华夏景气驱动混合A,2025-07-18,0.8864,0.8864,1.19,1.0,4.28,7.55,8.28,8.48,-4.28,,11.34,-11.36,10.717,0.15%
8678,8679,001104,华安新丝路主题股票A,2025-07-18,1.255,1.364,0.0,0.0,5.64,8.75,7.73,8.47,-23.15,-40.35,5.29,31.33,7.3567,0.15%
8679,8680,009388,嘉实稳福混合C,2025-07-18,1.1986,1.1986,0.03,0.15,0.55,1.53,5.03,8.47,3.6,2.01,5.24,19.86,8.5,0.00%
8680,8681,010906,博远优享混合A,2025-07-18,0.9504,0.9504,0.39,0.11,2.57,3.66,3.61,8.47,2.45,-0.72,2.48,-4.96,8.3694,0.08%
8681,8682,010931,国联安鑫元1个月持有混合A,2025-07-18,1.1567,1.1567,0.04,0.18,0.71,0.94,0.63,8.47,10.61,14.95,0.6,15.67,8.4677,0.08%
8682,8683,001053,南方创新经济,2025-07-18,1.8055,1.8055,0.11,3.76,6.78,15.7,10.34,8.46,5.71,-22.21,9.31,80.55,9.7969,0.15%
8683,8684,169102,东方红睿阳三年持有混合,2025-07-18,1.3337,2.2297,0.69,3.23,7.89,14.66,11.38,8.46,-9.62,-29.36,8.62,149.0,8.6694,1.50%
8684,8685,005273,华商可转债债券A,2025-07-18,1.6921,1.6921,0.75,0.42,6.2,9.48,10.64,8.46,11.24,8.23,10.17,69.21,10.2992,0.08%
8685,8686,011096,博时恒泽混合C,2025-07-18,1.1144,1.1144,0.12,0.4,0.82,3.65,3.5,8.46,11.12,12.37,2.46,11.44,8.3309,0.00%
8686,8687,014576,农银汇理瑞丰6个月持有混合,2025-07-18,1.0502,1.0502,0.11,0.23,2.03,3.53,3.11,8.46,4.48,4.59,2.41,5.02,8.4469,0.08%
8687,8688,014697,南方誉稳一年持有混合A,2025-07-18,1.1528,1.1528,0.22,0.66,1.48,3.18,3.97,8.46,7.46,14.79,3.3,15.28,8.458,0.08%
8688,8689,017769,博时信享一年持有期混合A,2025-07-18,1.0272,1.0272,0.9,1.1,3.42,3.16,5.8,8.46,6.21,,6.38,2.72,8.7099,0.08%
8689,8690,019966,易方达汇裕积极养老五年持有混合(FOF)Y,2025-07-17,1.0645,1.0645,1.2,2.8,6.61,12.73,10.32,8.46,,,9.35,7.33,,0.00%
8690,8691,001499,国投瑞银新增长混合A,2025-07-18,1.4797,1.8628,0.07,0.14,0.84,2.17,2.7,8.45,7.25,6.82,2.31,98.88,8.5698,0.06%
8691,8692,006022,富国大盘价值量化精选混合A,2025-07-18,1.6914,1.6914,0.34,0.18,3.55,5.4,3.49,8.45,10.84,-4.82,-0.31,69.14,9.6887,0.15%
8692,8693,002166,华夏永福混合C,2025-07-18,2.414,2.414,0.12,0.29,1.94,0.46,1.68,8.45,5.19,2.59,1.05,68.34,8.2511,0.00%
8693,8694,016488,东财产业优选C,2025-07-18,0.9609,0.9609,1.54,2.5,4.15,9.65,5.29,8.45,-1.77,,6.24,-3.91,9.5417,0.00%
8694,8695,009606,长信稳健精选混合A,2025-07-18,1.1321,1.1321,-0.06,-0.09,0.54,1.68,-0.82,8.44,3.32,0.45,-1.12,13.21,8.3868,0.08%
8695,8696,015140,泰康医疗健康股票发起C,2025-07-18,0.9972,0.9972,-0.14,0.44,1.9,3.29,3.17,8.44,-7.61,-4.55,-3.23,-0.28,7.9221,0.00%
8696,8697,014483,华夏融盛可持续一年持有混合C,2025-07-18,0.8478,0.8478,0.8,1.91,4.83,7.64,5.83,8.44,6.25,,3.04,-15.22,9.3512,0.00%
8697,8698,017134,博道和祥多元稳健债券A,2025-07-18,1.0862,1.0862,0.03,0.22,1.08,2.24,2.2,8.44,7.8,,1.92,8.62,8.4465,0.08%
8698,8699,160624,鹏华消费领先混合,2025-07-18,2.804,2.607,-0.11,0.94,3.66,9.7,5.69,8.43,-15.41,-37.38,4.01,180.4,8.472,0.15%
8699,8700,002574,招商瑞庆混合A,2025-07-18,1.0516,1.5036,0.03,0.48,1.46,3.04,2.97,8.43,6.33,2.74,2.81,59.26,8.4124,0.15%
8700,8701,519030,海富通稳固收益债券C,2025-07-18,1.3074,1.9384,0.05,0.31,1.31,2.74,3.31,8.43,7.31,8.49,3.2,112.07,8.543,0.00%
8701,8702,007129,天弘增强回报债券C,2025-07-18,1.4244,1.4244,0.27,0.44,1.42,2.95,3.28,8.43,6.86,6.91,2.93,42.44,8.3606,0.00%
8702,8703,016610,富国稳健添盈债券A,2025-07-18,1.0625,1.0625,0.09,0.39,1.66,4.06,5.28,8.43,6.04,,5.01,6.25,8.5735,0.08%
8703,8704,110012,易方达科汇灵活配置混合,2025-07-18,2.319,7.262,-0.34,0.13,3.25,10.11,6.28,8.42,-5.19,-5.15,4.46,399.23,9.0781,0.15%
8704,8705,161724,招商中证煤炭等权指数(LOF)A,2025-07-18,1.8648,1.3229,1.29,-1.41,3.82,7.67,2.0,8.42,10.25,-1.62,-2.4,41.03,9.6103,0.10%
8705,8706,007239,平安养老目标日期2035三年持有混合(FOF)C,2025-07-16,1.2575,1.3045,0.14,1.23,2.66,6.98,7.56,8.42,-0.19,-8.38,7.52,30.92,,0.00%
8706,8707,007388,摩根研究驱动股票A,2025-07-18,0.9762,0.9762,-0.14,-0.02,3.55,9.85,6.72,8.42,-0.7,-18.35,5.14,-2.38,9.0726,0.15%
8707,8708,010028,华泰柏瑞创新升级混合C,2025-07-18,2.099,2.686,0.05,1.89,4.85,8.59,4.07,8.42,-17.07,-26.94,2.79,-22.43,9.3799,0.00%
8708,8709,010515,富国天兴回报混合A,2025-07-18,1.1784,1.1784,0.32,0.85,1.71,3.86,5.53,8.42,12.36,10.38,4.64,17.84,8.3885,0.10%
8709,8710,012235,华安聚弘精选混合C,2025-07-18,0.6423,0.6423,0.71,2.07,5.73,7.09,10.59,8.41,-7.03,-29.35,6.87,-35.77,8.9013,0.00%
8710,8711,014888,东方红锦融甄选18个月持有混合A,2025-07-18,1.1288,1.1288,0.07,0.77,2.07,4.33,5.12,8.41,9.86,12.64,4.63,12.88,8.6116,0.80%
8711,8712,017262,大成成长领航一年持有混合C,2025-07-18,1.073,1.073,0.89,1.89,4.59,10.79,8.64,8.41,,,7.01,7.3,8.5703,0.00%
8712,8713,000081,天治可转债增强债券C,2025-07-18,1.5102,1.5102,0.17,0.03,1.22,4.64,4.05,8.4,4.37,1.22,4.88,51.02,8.7962,0.00%
8713,8714,160620,鹏华资源A,2025-07-18,1.9093,1.3515,1.44,0.83,4.64,10.17,5.57,8.4,12.98,7.14,7.32,43.41,10.6392,0.12%
8714,8715,003218,前海开源祥和债券A,2025-07-18,1.6097,1.6797,0.0,0.01,-0.01,0.61,1.93,8.4,14.05,16.34,2.35,68.98,8.8371,0.08%
8715,8716,217002,招商安泰平衡混合,2025-07-18,1.5501,3.7836,0.25,0.25,1.1,0.38,3.18,8.4,17.32,3.74,3.44,617.35,8.6074,0.15%
8716,8717,021271,华泰紫金远见回报12个月持有混合A,2025-07-18,1.0815,1.0815,0.72,1.99,2.58,6.91,6.42,8.4,,,5.51,8.15,,0.15%
8717,8718,630001,华商领先企业混合,2025-07-18,0.5515,2.0935,0.16,1.38,6.69,8.71,6.14,8.39,-12.53,-27.48,7.07,53.18,9.3378,0.15%
8718,8719,020275,浦银安盛颐璇平衡养老目标三年混合(FOF)Y,2025-07-16,0.9922,0.9922,-0.02,0.69,2.64,5.03,5.49,8.39,,,4.1,5.3,,0.00%
8719,8720,011980,国富匠心精选混合A,2025-07-18,0.9566,0.9566,0.28,2.65,5.76,11.79,6.4,8.38,5.33,-7.91,6.61,-4.34,9.853,1.50%
8720,8721,013634,申万菱信双利混合A,2025-07-18,0.9749,0.9749,0.15,1.05,1.5,3.68,4.12,8.38,4.03,1.38,3.9,-2.51,8.5514,0.12%
8721,8722,012743,汇添富添福睿选稳健养老一年持有混合(FOF)A,2025-07-16,1.0422,1.0422,-0.1,0.1,0.89,2.96,2.44,8.37,6.17,6.93,3.33,4.22,,0.12%
8722,8723,019943,兴业恒益6个月持有期债券A,2025-07-18,1.094,1.094,0.11,0.95,2.16,3.77,3.91,8.37,,,4.07,9.4,8.2954,0.06%
8723,8724,017230,宝盈价值成长混合A,2025-07-18,1.0855,1.0855,1.12,1.47,1.61,0.6,-0.28,8.37,,,-2.33,8.55,8.5174,1.50%
8724,8725,021558,工银现代服务业混合C,2025-07-18,1.89,1.89,0.48,1.07,4.71,6.42,2.83,8.37,,,-0.16,9.69,8.871,0.00%
8725,8726,007326,国投瑞银新增长混合C,2025-07-18,1.4683,1.802,0.07,0.14,0.84,2.16,2.66,8.36,7.04,6.51,2.27,62.23,8.483,0.00%
8726,8727,011071,鹏华安悦一年持有期混合A,2025-07-18,1.059,1.059,-0.03,1.04,1.94,4.61,6.66,8.36,9.4,4.65,7.05,5.9,8.2158,0.08%
8727,8728,014615,尚正正鑫混合发起A,2025-07-18,1.03,1.03,0.39,0.8,1.72,0.54,5.33,8.36,5.9,3.3,2.92,3.0,8.2274,0.10%
8728,8729,017401,贝莱德行业优选混合C,2025-07-18,0.8902,0.8902,0.86,3.42,5.34,12.19,7.75,8.36,-8.4,,7.76,-10.98,9.6981,0.00%
8729,8730,007662,富国鑫旺均衡养老目标三年持有混合发起(FOF)A,2025-07-16,1.1347,1.1347,-0.04,0.71,1.85,5.82,6.61,8.36,0.41,-2.04,5.3,13.47,,0.12%
8730,8731,018314,易方达养老2055五年持有混合(FOF)A,2025-07-17,1.0716,1.0716,1.11,2.56,6.3,12.6,10.05,8.36,,,9.09,7.16,,0.12%
8731,8732,007780,银华尊和养老2040三年持有混合发起(FOF)A,2025-07-16,1.1804,1.1804,0.14,0.88,2.44,5.92,4.44,8.35,-2.61,-10.71,3.33,18.04,,0.08%
8732,8733,009116,东兴中证消费50A,2025-07-18,1.15,1.15,0.58,1.17,2.74,0.59,1.73,8.35,-2.07,-14.57,-0.99,15.0,9.0978,0.06%
8733,8734,582003,东吴配置优化混合A,2025-07-18,1.5321,1.7561,-0.64,8.3,14.54,24.53,9.29,8.35,6.92,-26.97,9.92,82.74,9.4748,0.15%
8734,8735,016946,国泰君安善元稳健养老一年持有混合发起(FOF)A,2025-07-17,1.0676,1.0676,0.31,0.64,1.47,2.89,3.76,8.35,7.07,,3.66,6.76,,0.08%
8735,8736,017369,银华尊颐稳健养老目标一年持有混合发起式(FOF)Y,2025-07-16,1.0041,1.0041,0.05,0.25,1.08,3.04,3.2,8.35,2.24,,2.72,1.75,,0.00%
8736,8737,016682,天弘广盈六个月持有混合A,2025-07-18,1.1067,1.1067,0.34,0.26,1.54,2.32,2.4,8.35,9.96,,2.48,10.67,8.5532,0.03%
8737,8738,020250,中银中证央企红利50指数C,2025-07-18,1.0856,1.0856,0.6,1.28,5.6,8.06,6.64,8.35,,,2.32,8.56,9.9119,0.00%
8738,8739,014200,建信沃信一年持有混合C,2025-07-18,0.7094,0.7094,1.0,6.31,9.34,17.02,9.97,8.34,-11.45,-34.47,9.07,-29.06,9.5768,0.00%
8739,8740,161019,富国新天锋债券(LOF)A,2025-07-18,1.1767,1.7562,0.01,0.09,0.84,1.76,1.71,8.33,9.22,11.8,1.84,106.32,8.3717,0.08%
8740,8741,002388,天弘裕利灵活配置混合A,2025-07-18,1.145,1.1543,0.22,0.39,0.96,2.12,3.12,8.33,-6.2,-8.57,2.71,15.55,8.6235,0.10%
8741,8742,501017,国泰融丰外延增长混合(LOF)A,2025-07-18,1.2083,1.2251,0.21,0.69,2.71,4.07,3.82,8.33,4.53,4.26,4.05,22.86,8.4942,0.10%
8742,8743,007345,富国科技创新灵活配置混合,2025-07-18,1.3304,1.3304,-0.5,4.81,10.14,17.14,21.0,8.33,-10.23,-26.25,17.58,33.04,9.0045,0.15%
8743,8744,013388,长城价值领航混合C,2025-07-18,0.7344,0.7344,0.69,0.18,1.94,6.7,9.4,8.33,0.74,-22.38,6.54,-26.56,9.5792,0.00%
8744,8745,017274,博时颐泽平衡养老(FOF)Y,2025-07-16,1.2693,1.2693,-0.09,0.59,1.67,5.83,6.21,8.32,6.93,,5.56,8.25,,0.00%
8745,8746,015981,光大高端装备混合C,2025-07-18,0.7733,0.7733,0.61,4.01,5.69,7.09,4.83,8.32,-10.1,,3.78,-22.67,8.4268,0.00%
8746,8747,004361,摩根安通回报混合A,2025-07-18,1.4247,1.4558,0.15,0.7,2.12,5.22,6.88,8.31,12.13,11.65,6.54,46.78,8.5982,0.10%
8747,8748,002620,中邮未来新蓝筹混合,2025-07-18,2.593,2.593,0.08,2.37,9.97,13.08,7.91,8.31,-7.46,-19.92,8.18,159.3,8.0417,0.15%
8748,8749,009714,华安聚优精选混合,2025-07-18,0.6476,0.6476,0.7,1.98,5.71,6.78,10.17,8.31,-6.32,-28.0,6.64,-35.24,8.8038,0.15%
8749,8750,009308,天弘安康颐养混合C,2025-07-18,1.3087,1.3087,0.17,0.23,1.61,2.11,2.17,8.31,11.26,11.72,1.99,30.87,8.2823,0.00%
8750,8751,010839,易方达瑞安灵活配置混合A,2025-07-18,1.0763,1.0763,0.09,0.2,0.78,1.73,1.68,8.31,-4.0,0.1,1.02,7.63,8.3669,0.06%
8751,8752,010932,国联安鑫元1个月持有混合C,2025-07-18,1.1497,1.1497,0.04,0.18,0.69,0.9,0.55,8.31,10.28,14.42,0.52,14.97,8.309,0.00%
8752,8753,013596,招商中证煤炭等权指数(LOF)C,2025-07-18,1.8577,1.8577,1.29,-1.41,3.82,7.64,1.95,8.31,10.03,-1.91,-2.45,-6.04,9.5019,0.00%
8753,8754,016061,长城环保主题混合C,2025-07-18,1.5783,1.9754,-0.06,4.72,7.37,8.03,5.31,8.3,-17.52,-32.79,10.21,-33.25,9.2098,0.00%
8754,8755,001763,广发多策略混合,2025-07-18,1.554,1.554,0.71,0.32,0.32,0.0,-1.77,8.29,-15.41,-14.94,-3.54,55.4,8.2927,0.15%
8755,8756,005653,国富天颐混合C,2025-07-18,1.0459,1.3914,0.17,0.32,1.86,3.19,2.47,8.29,6.74,6.98,2.54,44.37,8.1376,0.00%
8756,8757,012808,鹏华资源C,2025-07-18,1.1936,1.1936,1.44,0.83,4.63,10.15,5.53,8.29,12.71,6.76,7.26,19.36,10.5288,0.00%
8757,8758,019005,国投瑞银白银期货(LOF)C,2025-07-18,1.0529,1.0529,0.4,1.79,1.82,12.29,15.05,8.29,,,20.26,44.45,13.1907,0.00%
8758,8759,021674,国泰中证沪深港黄金产业股票ETF发起联接C,2025-07-18,1.102,1.102,0.91,0.66,-1.58,5.82,25.27,8.29,,,31.49,10.2,12.725,0.00%
8759,8760,019081,山证资管中债1-3年国开债指数A,2025-07-18,1.0554,1.0874,0.01,0.07,0.0,0.45,0.83,8.29,,,1.04,8.75,8.2019,0.03%
8760,8761,000167,广发聚优灵活配置混合A,2025-07-18,2.028,2.238,0.1,0.95,2.94,5.13,5.9,8.28,-4.16,-12.02,4.16,138.05,9.8592,0.15%
8761,8762,001782,九泰久益混合A,2025-07-18,2.237,2.371,0.49,0.63,3.04,0.4,-0.53,8.28,-0.13,-10.7,-0.97,152.94,7.0335,0.15%
8762,8763,501076,鹏华创新动力混合(LOF),2025-07-18,1.4314,1.4314,-0.4,-1.57,4.52,13.57,15.32,8.28,-2.86,-11.0,8.88,43.14,9.3924,0.15%
8763,8764,090001,大成价值增长混合A,2025-07-18,0.7342,4.3452,0.71,3.18,5.23,9.35,8.69,8.27,-14.48,-16.56,8.1,889.07,8.353,0.15%
8764,8765,008666,国泰鑫利一年持有期混合A,2025-07-18,1.1772,1.2372,-0.02,0.14,1.24,3.29,2.79,8.27,5.72,5.99,3.38,24.69,8.2682,0.12%
8765,8766,010981,兴全汇虹一年持有混合A,2025-07-18,1.1498,1.1498,0.08,0.24,0.66,2.7,5.88,8.27,12.67,3.99,5.42,14.98,8.6665,0.12%
8766,8767,015319,南方浩誉稳健18个月持有混合(FOF)C,2025-07-16,1.0425,1.0425,-0.02,0.26,1.07,3.2,3.98,8.27,4.39,,3.63,4.25,,0.00%
8767,8768,167503,安信一带一路指数A,2025-07-18,1.777,0.8605,0.72,3.47,7.76,14.11,7.01,8.26,8.09,12.04,3.93,-19.79,9.1322,0.05%
8768,8769,010831,国泰通利9个月持有期混合C,2025-07-18,1.1275,1.1275,-0.03,0.04,1.13,2.81,3.06,8.26,4.02,5.82,4.01,12.75,8.2469,0.00%
8769,8770,019278,长城国企优选混合发起式C,2025-07-18,1.0676,1.0676,1.17,2.67,6.57,9.42,10.75,8.26,,,7.69,6.76,8.5732,0.00%
8770,8771,001485,华安添颐混合A,2025-07-18,1.2937,1.3576,0.1,0.22,0.81,2.08,2.98,8.25,8.44,2.84,2.88,35.92,8.1599,0.10%
8771,8772,015745,上银鑫卓混合C,2025-07-18,1.2934,1.5034,0.43,-0.29,2.07,4.16,5.94,8.25,25.96,7.07,2.36,14.14,9.7051,0.00%
8772,8773,016658,兴华安裕利率债A,2025-07-18,1.1248,1.1728,-0.04,0.05,0.03,0.89,0.95,8.25,16.63,,1.34,17.7,7.9359,0.08%
8773,8774,002545,东方岳灵活配置混合,2025-07-18,1.4645,1.8141,0.54,1.45,4.41,9.06,3.81,8.25,12.67,2.67,2.81,84.84,9.6265,0.08%
8774,8775,014181,富国大盘价值量化精选混合C,2025-07-18,1.6764,1.6764,0.34,0.18,3.53,5.35,3.39,8.25,10.35,-5.55,-0.41,-12.6,9.4828,0.00%
8775,8776,009117,东兴中证消费50C,2025-07-18,1.144,1.144,0.58,1.18,2.74,0.56,1.68,8.24,-2.26,-14.82,-1.04,14.4,8.9939,0.00%
8776,8777,010122,华泰柏瑞优势领航混合A,2025-07-18,0.7934,0.7934,0.37,1.2,5.07,5.32,9.8,8.24,1.51,-16.91,8.55,-20.66,9.722,0.15%
8777,8778,010699,东方红创新趋势混合,2025-07-18,0.7263,0.7263,0.74,1.27,4.73,9.58,6.36,8.24,11.81,-9.96,6.31,-27.37,9.8291,0.15%
8778,8779,014236,淳厚时代优选混合C,2025-07-18,0.767,0.767,0.58,2.93,4.8,3.65,5.75,8.24,-12.72,-24.72,2.38,-23.3,8.9334,0.00%
8779,8780,018449,中欧瑾通灵活配置混合E,2025-07-18,1.5035,1.5779,0.08,0.51,1.47,3.22,3.18,8.24,10.04,,3.22,10.74,8.3116,0.10%
8780,8781,020474,中欧产业优选混合A,2025-07-18,1.1801,1.1801,0.79,2.47,6.45,12.32,11.57,8.24,,,10.96,18.01,11.7625,0.15%
